iter,best_score,iter_best_score,global_best_score,mean_score,std_score,valid_particle_ratio,num_valid_particles,num_invalid_particles,best_T,best_T_over_G,best_T_over_Gtx,best_pi0,best_q_tx,best_avg_power,best_P,best_pi_full
10,0.64523500,0.64523500,0.64523500,0.41087317,0.19207586,1.00000000,30,0,129.04700000,0.64523500,0.93662632,0.30473674,0.69526326,1.00000000,"[0.038251520047019184, 0.08731832858927845, 0.170540797060366, 0.2971894169498336, 0.825246058807605, 1.7140590651438086, 2.8758200824487323, 5.95519651042462]","[0.3047367377990178, 0.08757076536587122, 0.09394918375381078, 0.08993449242101825, 0.07977113779363473, 0.10770467305171273, 0.08609446626499302, 0.05902225673862274, 0.09121628681131876]"
11,0.64627000,0.64627000,0.64627000,0.41195217,0.19418437,1.00000000,30,0,129.25400000,0.64627000,0.92375277,0.29239963,0.70760037,1.00000000,"[0.0375831241904592, 0.08705660746258763, 0.17074721280328647, 0.29954016035561054, 0.8310780911190483, 1.699055517771598, 2.8632259832623954, 5.903733269182717]","[0.292399631979105, 0.09009213052433972, 0.10052603635868237, 0.08866250971934739, 0.07941606011484995, 0.11003444847062215, 0.08804171168406102, 0.06003758346869858, 0.09078988768029382]"
12,0.65207000,0.65207000,0.65207000,0.41836350,0.22411356,1.00000000,30,0,130.41400000,0.65207000,0.95494338,0.31145767,0.68854233,1.00000000,"[0.037732476864983835, 0.08765643621253766, 0.17697018431488404, 0.29169226241182167, 0.8439812309991026, 1.7655463394810187, 2.9357847943064552, 6.309007037189843]","[0.31145766739937375, 0.08287134153868438, 0.09953384500630555, 0.09080751941626757, 0.07795220850563375, 0.10141055726978965, 0.09132343465857191, 0.06226709776020907, 0.08237632844516436]"
13,0.65207000,0.64394500,0.65207000,0.40213817,0.21292906,1.00000000,30,0,130.41400000,0.65207000,0.95494338,0.31145767,0.68854233,1.00000000,"[0.037732476864983835, 0.08765643621253766, 0.17697018431488404, 0.29169226241182167, 0.8439812309991026, 1.7655463394810187, 2.9357847943064552, 6.309007037189843]","[0.31145766739937375, 0.08287134153868438, 0.09953384500630555, 0.09080751941626757, 0.07795220850563375, 0.10141055726978965, 0.09132343465857191, 0.06226709776020907, 0.08237632844516436]"
14,0.65377500,0.65377500,0.65377500,0.46473967,0.15410444,1.00000000,30,0,130.75500000,0.65377500,0.96339635,0.31597180,0.68402820,1.00000000,"[0.04148649680400675, 0.0907612590533541, 0.18115265922054588, 0.3232464674608376, 0.880989010300551, 1.8261581340511321, 2.9659776684588417, 6.265496678528416]","[0.3159717989621723, 0.08199294076955183, 0.09467063473207332, 0.09332598234882804, 0.07902082273332717, 0.10341297859010261, 0.08821329901719266, 0.062148405134732354, 0.0812431377120197]"
15,0.65617000,0.65617000,0.65617000,0.46080550,0.18003061,1.00000000,30,0,131.23400000,0.65617000,0.95613952,0.30766851,0.69233149,1.00000000,"[0.04479678637183758, 0.09393178797724828, 0.17844735242466434, 0.33212455433820237, 0.8847255723127477, 1.79920289213589, 2.989211222616421, 6.050629343461936]","[0.30766850887698627, 0.0862693949598867, 0.09573508947991025, 0.0893500634858651, 0.07949523788621381, 0.10961492508200793, 0.08757087844115952, 0.05971797313363003, 0.08457792865434037]"
16,0.65617000,0.64966500,0.65617000,0.44838717,0.20488233,1.00000000,30,0,131.23400000,0.65617000,0.95613952,0.30766851,0.69233149,1.00000000,"[0.04479678637183758, 0.09393178797724828, 0.17844735242466434, 0.33212455433820237, 0.8847255723127477, 1.79920289213589, 2.989211222616421, 6.050629343461936]","[0.30766850887698627, 0.0862693949598867, 0.09573508947991025, 0.0893500634858651, 0.07949523788621381, 0.10961492508200793, 0.08757087844115952, 0.05971797313363003, 0.08457792865434037]"
17,0.65617000,0.65141000,0.65617000,0.42465050,0.22143491,1.00000000,30,0,131.23400000,0.65617000,0.95613952,0.30766851,0.69233149,1.00000000,"[0.04479678637183758, 0.09393178797724828, 0.17844735242466434, 0.33212455433820237, 0.8847255723127477, 1.79920289213589, 2.989211222616421, 6.050629343461936]","[0.30766850887698627, 0.0862693949598867, 0.09573508947991025, 0.0893500634858651, 0.07949523788621381, 0.10961492508200793, 0.08757087844115952, 0.05971797313363003, 0.08457792865434037]"
18,0.65617000,0.65604000,0.65617000,0.47731683,0.17072367,1.00000000,30,0,131.23400000,0.65617000,0.95613952,0.30766851,0.69233149,1.00000000,"[0.04479678637183758, 0.09393178797724828, 0.17844735242466434, 0.33212455433820237, 0.8847255723127477, 1.79920289213589, 2.989211222616421, 6.050629343461936]","[0.30766850887698627, 0.0862693949598867, 0.09573508947991025, 0.0893500634858651, 0.07949523788621381, 0.10961492508200793, 0.08757087844115952, 0.05971797313363003, 0.08457792865434037]"
19,0.65617000,0.65113000,0.65617000,0.52336717,0.13094110,1.00000000,30,0,131.23400000,0.65617000,0.95613952,0.30766851,0.69233149,1.00000000,"[0.04479678637183758, 0.09393178797724828, 0.17844735242466434, 0.33212455433820237, 0.8847255723127477, 1.79920289213589, 2.989211222616421, 6.050629343461936]","[0.30766850887698627, 0.0862693949598867, 0.09573508947991025, 0.0893500634858651, 0.07949523788621381, 0.10961492508200793, 0.08757087844115952, 0.05971797313363003, 0.08457792865434037]"
20,0.65617000,0.64874000,0.65617000,0.48254483,0.18754876,1.00000000,30,0,131.23400000,0.65617000,0.95613952,0.30766851,0.69233149,1.00000000,"[0.04479678637183758, 0.09393178797724828, 0.17844735242466434, 0.33212455433820237, 0.8847255723127477, 1.79920289213589, 2.989211222616421, 6.050629343461936]","[0.30766850887698627, 0.0862693949598867, 0.09573508947991025, 0.0893500634858651, 0.07949523788621381, 0.10961492508200793, 0.08757087844115952, 0.05971797313363003, 0.08457792865434037]"
21,0.65617000,0.64922000,0.65617000,0.47839817,0.19766930,1.00000000,30,0,131.23400000,0.65617000,0.95613952,0.30766851,0.69233149,1.00000000,"[0.04479678637183758, 0.09393178797724828, 0.17844735242466434, 0.33212455433820237, 0.8847255723127477, 1.79920289213589, 2.989211222616421, 6.050629343461936]","[0.30766850887698627, 0.0862693949598867, 0.09573508947991025, 0.0893500634858651, 0.07949523788621381, 0.10961492508200793, 0.08757087844115952, 0.05971797313363003, 0.08457792865434037]"
22,0.65617000,0.65008500,0.65617000,0.51227183,0.17598722,1.00000000,30,0,131.23400000,0.65617000,0.95613952,0.30766851,0.69233149,1.00000000,"[0.04479678637183758, 0.09393178797724828, 0.17844735242466434, 0.33212455433820237, 0.8847255723127477, 1.79920289213589, 2.989211222616421, 6.050629343461936]","[0.30766850887698627, 0.0862693949598867, 0.09573508947991025, 0.0893500634858651, 0.07949523788621381, 0.10961492508200793, 0.08757087844115952, 0.05971797313363003, 0.08457792865434037]"
23,0.65617000,0.65584000,0.65617000,0.50182900,0.17154333,1.00000000,30,0,131.23400000,0.65617000,0.95613952,0.30766851,0.69233149,1.00000000,"[0.04479678637183758, 0.09393178797724828, 0.17844735242466434, 0.33212455433820237, 0.8847255723127477, 1.79920289213589, 2.989211222616421, 6.050629343461936]","[0.30766850887698627, 0.0862693949598867, 0.09573508947991025, 0.0893500634858651, 0.07949523788621381, 0.10961492508200793, 0.08757087844115952, 0.05971797313363003, 0.08457792865434037]"
24,0.65617000,0.65270000,0.65617000,0.52801417,0.14674397,1.00000000,30,0,131.23400000,0.65617000,0.95613952,0.30766851,0.69233149,1.00000000,"[0.04479678637183758, 0.09393178797724828, 0.17844735242466434, 0.33212455433820237, 0.8847255723127477, 1.79920289213589, 2.989211222616421, 6.050629343461936]","[0.30766850887698627, 0.0862693949598867, 0.09573508947991025, 0.0893500634858651, 0.07949523788621381, 0.10961492508200793, 0.08757087844115952, 0.05971797313363003, 0.08457792865434037]"
25,0.66323500,0.66323500,0.66323500,0.50234867,0.18086124,1.00000000,30,0,132.64700000,0.66323500,0.96450049,0.30686624,0.69313376,1.00000000,"[0.04459964660115458, 0.09316116627772625, 0.17811076043224416, 0.3302495190076334, 0.8889768372705409, 1.7971345797983673, 3.006439344024609, 6.065766848397336]","[0.30686624436059184, 0.0865714458779375, 0.09813960387522144, 0.08968349242577577, 0.08044441635661068, 0.10654385291206134, 0.08701791317964969, 0.06032663061962324, 0.08440640039252846]"
26,0.66323500,0.65730000,0.66323500,0.56428767,0.13444341,1.00000000,30,0,132.64700000,0.66323500,0.96450049,0.30686624,0.69313376,1.00000000,"[0.04459964660115458, 0.09316116627772625, 0.17811076043224416, 0.3302495190076334, 0.8889768372705409, 1.7971345797983673, 3.006439344024609, 6.065766848397336]","[0.30686624436059184, 0.0865714458779375, 0.09813960387522144, 0.08968349242577577, 0.08044441635661068, 0.10654385291206134, 0.08701791317964969, 0.06032663061962324, 0.08440640039252846]"
27,0.66323500,0.65784500,0.66323500,0.52392083,0.16500999,1.00000000,30,0,132.64700000,0.66323500,0.96450049,0.30686624,0.69313376,1.00000000,"[0.04459964660115458, 0.09316116627772625, 0.17811076043224416, 0.3302495190076334, 0.8889768372705409, 1.7971345797983673, 3.006439344024609, 6.065766848397336]","[0.30686624436059184, 0.0865714458779375, 0.09813960387522144, 0.08968349242577577, 0.08044441635661068, 0.10654385291206134, 0.08701791317964969, 0.06032663061962324, 0.08440640039252846]"
28,0.66323500,0.65680000,0.66323500,0.54608100,0.14726190,1.00000000,30,0,132.64700000,0.66323500,0.96450049,0.30686624,0.69313376,1.00000000,"[0.04459964660115458, 0.09316116627772625, 0.17811076043224416, 0.3302495190076334, 0.8889768372705409, 1.7971345797983673, 3.006439344024609, 6.065766848397336]","[0.30686624436059184, 0.0865714458779375, 0.09813960387522144, 0.08968349242577577, 0.08044441635661068, 0.10654385291206134, 0.08701791317964969, 0.06032663061962324, 0.08440640039252846]"
29,0.66323500,0.65265000,0.66323500,0.54822017,0.14727367,1.00000000,30,0,132.64700000,0.66323500,0.96450049,0.30686624,0.69313376,1.00000000,"[0.04459964660115458, 0.09316116627772625, 0.17811076043224416, 0.3302495190076334, 0.8889768372705409, 1.7971345797983673, 3.006439344024609, 6.065766848397336]","[0.30686624436059184, 0.0865714458779375, 0.09813960387522144, 0.08968349242577577, 0.08044441635661068, 0.10654385291206134, 0.08701791317964969, 0.06032663061962324, 0.08440640039252846]"
30,0.66323500,0.65709000,0.66323500,0.53780650,0.17046912,1.00000000,30,0,132.64700000,0.66323500,0.96450049,0.30686624,0.69313376,1.00000000,"[0.04459964660115458, 0.09316116627772625, 0.17811076043224416, 0.3302495190076334, 0.8889768372705409, 1.7971345797983673, 3.006439344024609, 6.065766848397336]","[0.30686624436059184, 0.0865714458779375, 0.09813960387522144, 0.08968349242577577, 0.08044441635661068, 0.10654385291206134, 0.08701791317964969, 0.06032663061962324, 0.08440640039252846]"
31,0.66323500,0.65548500,0.66323500,0.57525100,0.11808430,1.00000000,30,0,132.64700000,0.66323500,0.96450049,0.30686624,0.69313376,1.00000000,"[0.04459964660115458, 0.09316116627772625, 0.17811076043224416, 0.3302495190076334, 0.8889768372705409, 1.7971345797983673, 3.006439344024609, 6.065766848397336]","[0.30686624436059184, 0.0865714458779375, 0.09813960387522144, 0.08968349242577577, 0.08044441635661068, 0.10654385291206134, 0.08701791317964969, 0.06032663061962324, 0.08440640039252846]"
32,0.66323500,0.65617500,0.66323500,0.57629100,0.09935664,1.00000000,30,0,132.64700000,0.66323500,0.96450049,0.30686624,0.69313376,1.00000000,"[0.04459964660115458, 0.09316116627772625, 0.17811076043224416, 0.3302495190076334, 0.8889768372705409, 1.7971345797983673, 3.006439344024609, 6.065766848397336]","[0.30686624436059184, 0.0865714458779375, 0.09813960387522144, 0.08968349242577577, 0.08044441635661068, 0.10654385291206134, 0.08701791317964969, 0.06032663061962324, 0.08440640039252846]"
33,0.66323500,0.65914000,0.66323500,0.58203450,0.12121779,1.00000000,30,0,132.64700000,0.66323500,0.96450049,0.30686624,0.69313376,1.00000000,"[0.04459964660115458, 0.09316116627772625, 0.17811076043224416, 0.3302495190076334, 0.8889768372705409, 1.7971345797983673, 3.006439344024609, 6.065766848397336]","[0.30686624436059184, 0.0865714458779375, 0.09813960387522144, 0.08968349242577577, 0.08044441635661068, 0.10654385291206134, 0.08701791317964969, 0.06032663061962324, 0.08440640039252846]"
34,0.66323500,0.65830500,0.66323500,0.59322367,0.09045338,1.00000000,30,0,132.64700000,0.66323500,0.96450049,0.30686624,0.69313376,1.00000000,"[0.04459964660115458, 0.09316116627772625, 0.17811076043224416, 0.3302495190076334, 0.8889768372705409, 1.7971345797983673, 3.006439344024609, 6.065766848397336]","[0.30686624436059184, 0.0865714458779375, 0.09813960387522144, 0.08968349242577577, 0.08044441635661068, 0.10654385291206134, 0.08701791317964969, 0.06032663061962324, 0.08440640039252846]"
35,0.66323500,0.65857000,0.66323500,0.57978167,0.13166825,1.00000000,30,0,132.64700000,0.66323500,0.96450049,0.30686624,0.69313376,1.00000000,"[0.04459964660115458, 0.09316116627772625, 0.17811076043224416, 0.3302495190076334, 0.8889768372705409, 1.7971345797983673, 3.006439344024609, 6.065766848397336]","[0.30686624436059184, 0.0865714458779375, 0.09813960387522144, 0.08968349242577577, 0.08044441635661068, 0.10654385291206134, 0.08701791317964969, 0.06032663061962324, 0.08440640039252846]"
36,0.66323500,0.65955500,0.66323500,0.59148717,0.09077511,1.00000000,30,0,132.64700000,0.66323500,0.96450049,0.30686624,0.69313376,1.00000000,"[0.04459964660115458, 0.09316116627772625, 0.17811076043224416, 0.3302495190076334, 0.8889768372705409, 1.7971345797983673, 3.006439344024609, 6.065766848397336]","[0.30686624436059184, 0.0865714458779375, 0.09813960387522144, 0.08968349242577577, 0.08044441635661068, 0.10654385291206134, 0.08701791317964969, 0.06032663061962324, 0.08440640039252846]"
37,0.66323500,0.65854500,0.66323500,0.61243067,0.07201012,1.00000000,30,0,132.64700000,0.66323500,0.96450049,0.30686624,0.69313376,1.00000000,"[0.04459964660115458, 0.09316116627772625, 0.17811076043224416, 0.3302495190076334, 0.8889768372705409, 1.7971345797983673, 3.006439344024609, 6.065766848397336]","[0.30686624436059184, 0.0865714458779375, 0.09813960387522144, 0.08968349242577577, 0.08044441635661068, 0.10654385291206134, 0.08701791317964969, 0.06032663061962324, 0.08440640039252846]"
38,0.66323500,0.65920000,0.66323500,0.59667683,0.12207814,1.00000000,30,0,132.64700000,0.66323500,0.96450049,0.30686624,0.69313376,1.00000000,"[0.04459964660115458, 0.09316116627772625, 0.17811076043224416, 0.3302495190076334, 0.8889768372705409, 1.7971345797983673, 3.006439344024609, 6.065766848397336]","[0.30686624436059184, 0.0865714458779375, 0.09813960387522144, 0.08968349242577577, 0.08044441635661068, 0.10654385291206134, 0.08701791317964969, 0.06032663061962324, 0.08440640039252846]"
39,0.66323500,0.65560500,0.66323500,0.58998300,0.14122612,1.00000000,30,0,132.64700000,0.66323500,0.96450049,0.30686624,0.69313376,1.00000000,"[0.04459964660115458, 0.09316116627772625, 0.17811076043224416, 0.3302495190076334, 0.8889768372705409, 1.7971345797983673, 3.006439344024609, 6.065766848397336]","[0.30686624436059184, 0.0865714458779375, 0.09813960387522144, 0.08968349242577577, 0.08044441635661068, 0.10654385291206134, 0.08701791317964969, 0.06032663061962324, 0.08440640039252846]"
40,0.66323500,0.65938000,0.66323500,0.60126867,0.12303340,1.00000000,30,0,132.64700000,0.66323500,0.96450049,0.30686624,0.69313376,1.00000000,"[0.04459964660115458, 0.09316116627772625, 0.17811076043224416, 0.3302495190076334, 0.8889768372705409, 1.7971345797983673, 3.006439344024609, 6.065766848397336]","[0.30686624436059184, 0.0865714458779375, 0.09813960387522144, 0.08968349242577577, 0.08044441635661068, 0.10654385291206134, 0.08701791317964969, 0.06032663061962324, 0.08440640039252846]"
41,0.66323500,0.65803500,0.66323500,0.61922550,0.07932510,1.00000000,30,0,132.64700000,0.66323500,0.96450049,0.30686624,0.69313376,1.00000000,"[0.04459964660115458, 0.09316116627772625, 0.17811076043224416, 0.3302495190076334, 0.8889768372705409, 1.7971345797983673, 3.006439344024609, 6.065766848397336]","[0.30686624436059184, 0.0865714458779375, 0.09813960387522144, 0.08968349242577577, 0.08044441635661068, 0.10654385291206134, 0.08701791317964969, 0.06032663061962324, 0.08440640039252846]"
42,0.66323500,0.65726500,0.66323500,0.61921067,0.06578429,1.00000000,30,0,132.64700000,0.66323500,0.96450049,0.30686624,0.69313376,1.00000000,"[0.04459964660115458, 0.09316116627772625, 0.17811076043224416, 0.3302495190076334, 0.8889768372705409, 1.7971345797983673, 3.006439344024609, 6.065766848397336]","[0.30686624436059184, 0.0865714458779375, 0.09813960387522144, 0.08968349242577577, 0.08044441635661068, 0.10654385291206134, 0.08701791317964969, 0.06032663061962324, 0.08440640039252846]"
43,0.66323500,0.65914500,0.66323500,0.62962900,0.05285940,1.00000000,30,0,132.64700000,0.66323500,0.96450049,0.30686624,0.69313376,1.00000000,"[0.04459964660115458, 0.09316116627772625, 0.17811076043224416, 0.3302495190076334, 0.8889768372705409, 1.7971345797983673, 3.006439344024609, 6.065766848397336]","[0.30686624436059184, 0.0865714458779375, 0.09813960387522144, 0.08968349242577577, 0.08044441635661068, 0.10654385291206134, 0.08701791317964969, 0.06032663061962324, 0.08440640039252846]"
44,0.66323500,0.65850500,0.66323500,0.61420183,0.09166293,1.00000000,30,0,132.64700000,0.66323500,0.96450049,0.30686624,0.69313376,1.00000000,"[0.04459964660115458, 0.09316116627772625, 0.17811076043224416, 0.3302495190076334, 0.8889768372705409, 1.7971345797983673, 3.006439344024609, 6.065766848397336]","[0.30686624436059184, 0.0865714458779375, 0.09813960387522144, 0.08968349242577577, 0.08044441635661068, 0.10654385291206134, 0.08701791317964969, 0.06032663061962324, 0.08440640039252846]"
45,0.66323500,0.65918000,0.66323500,0.60069950,0.14180596,1.00000000,30,0,132.64700000,0.66323500,0.96450049,0.30686624,0.69313376,1.00000000,"[0.04459964660115458, 0.09316116627772625, 0.17811076043224416, 0.3302495190076334, 0.8889768372705409, 1.7971345797983673, 3.006439344024609, 6.065766848397336]","[0.30686624436059184, 0.0865714458779375, 0.09813960387522144, 0.08968349242577577, 0.08044441635661068, 0.10654385291206134, 0.08701791317964969, 0.06032663061962324, 0.08440640039252846]"
46,0.66323500,0.65831000,0.66323500,0.62435300,0.05284290,1.00000000,30,0,132.64700000,0.66323500,0.96450049,0.30686624,0.69313376,1.00000000,"[0.04459964660115458, 0.09316116627772625, 0.17811076043224416, 0.3302495190076334, 0.8889768372705409, 1.7971345797983673, 3.006439344024609, 6.065766848397336]","[0.30686624436059184, 0.0865714458779375, 0.09813960387522144, 0.08968349242577577, 0.08044441635661068, 0.10654385291206134, 0.08701791317964969, 0.06032663061962324, 0.08440640039252846]"
47,0.66323500,0.66052500,0.66323500,0.62491350,0.06770224,1.00000000,30,0,132.64700000,0.66323500,0.96450049,0.30686624,0.69313376,1.00000000,"[0.04459964660115458, 0.09316116627772625, 0.17811076043224416, 0.3302495190076334, 0.8889768372705409, 1.7971345797983673, 3.006439344024609, 6.065766848397336]","[0.30686624436059184, 0.0865714458779375, 0.09813960387522144, 0.08968349242577577, 0.08044441635661068, 0.10654385291206134, 0.08701791317964969, 0.06032663061962324, 0.08440640039252846]"
48,0.66323500,0.65806000,0.66323500,0.61925650,0.08718847,1.00000000,30,0,132.64700000,0.66323500,0.96450049,0.30686624,0.69313376,1.00000000,"[0.04459964660115458, 0.09316116627772625, 0.17811076043224416, 0.3302495190076334, 0.8889768372705409, 1.7971345797983673, 3.006439344024609, 6.065766848397336]","[0.30686624436059184, 0.0865714458779375, 0.09813960387522144, 0.08968349242577577, 0.08044441635661068, 0.10654385291206134, 0.08701791317964969, 0.06032663061962324, 0.08440640039252846]"
49,0.66323500,0.66004500,0.66323500,0.61417417,0.11042769,1.00000000,30,0,132.64700000,0.66323500,0.96450049,0.30686624,0.69313376,1.00000000,"[0.04459964660115458, 0.09316116627772625, 0.17811076043224416, 0.3302495190076334, 0.8889768372705409, 1.7971345797983673, 3.006439344024609, 6.065766848397336]","[0.30686624436059184, 0.0865714458779375, 0.09813960387522144, 0.08968349242577577, 0.08044441635661068, 0.10654385291206134, 0.08701791317964969, 0.06032663061962324, 0.08440640039252846]"
