receiver,method,method_zh,G,mc_mean_T,mc_std_T,mc_mean_T_over_G,mc_mean_T_over_Gtx,mc_mean_G_tx,pi0,q_tx,avg_power,pi_full,beta,P,source_dir,search_note
group_lmmse,single_power,单功率接入基线,200.0,36.533,10.94163987,0.182665,0.9353,39.9319,0.8,0.2,1.0,"[0.8, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[0.625, 1.25, 1.875, 2.5, 3.125, 3.75, 4.375, 5.0]",results/published/part3_stochastic_optimization,Single-power baseline imported from Experiment 40 MC evaluation
group_lmmse,structured_uniform_exp,均匀概率初始化,200.0,119.7143,11.906471010135268,0.5985715,0.997966571629722,120.0039,0.4,0.6,1.0,"[0.4, 0.075, 0.075, 0.075, 0.075, 0.075, 0.075, 0.075, 0.075]","[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]","[0.05228758169934641, 0.10457516339869281, 0.20915032679738563, 0.41830065359477125, 0.8366013071895425, 1.673202614379085, 3.34640522875817, 6.69281045751634]",results/published/part3_stochastic_optimization,MC grid search over q_tx and exponential power ratio r
group_lmmse,local_search,局部搜索优化,200.0,123.5193,27.104289176423276,0.6175965,0.9451950719309199,131.6069,0.3425305246213689,0.6574694753786311,1.0,"[0.3425305246213689, 0.11274951105918961, 0.06725759325562757, 0.07985092682653565, 0.06551372795670449, 0.054951107271090295, 0.1232243285160841, 0.09922182866653534, 0.054700451826864074]","[0.17149010757382785, 0.10229766669683713, 0.1214519149813764, 0.09964527694456946, 0.08357970876053891, 0.1874221285256175, 0.15091473046622328, 0.08319846605100951]","[0.06223980640146981, 0.10803637076049269, 0.21370407038631548, 0.32544068158416634, 0.6446329244884846, 1.537009378565974, 3.94979311568248, 6.0439169549320075]",results/published/part3_stochastic_optimization,MC objective local search initialized from Part II local_search policy
group_lmmse,PSO_MC,PSO算法优化,200.0,130.1619,25.06682116,0.6508095,0.94394833,138.7825,0.30686624,0.69313376,1.0,"[0.30686624436059184, 0.0865714458779375, 0.09813960387522144, 0.08968349242577577, 0.08044441635661068, 0.10654385291206134, 0.08701791317964969, 0.06032663061962324, 0.08440640039252846]","[0.12489861469533584, 0.14158826211643488, 0.12938843577607, 0.11605900838345638, 0.1537132653621462, 0.12554274333296123, 0.08703461652069246, 0.12177505381290296]","[0.04459964660115458, 0.09316116627772625, 0.17811076043224416, 0.3302495190076334, 0.8889768372705409, 1.7971345797983673, 3.006439344024609, 6.065766848397336]",results/published/part3_stochastic_optimization,PSO optimized under Part III MC objective
