S,receiver,baseline_type,policy_name,method,T_packets,T_rate,T_over_G,T_over_Gtx,success_ratio,G,G_tx,pi0,q_tx,avg_power,failed_group,pi_full,pi_pos,beta,P,K0,K_groups,group_success_users,group_success_flags,init_type,init_beta_mode,init_power_mode,local_gain,accepted_steps,best_r,best_q_tx,run_index
8,group_mf,single_power,single_power_baseline_q0.2,best_q_tx_grid,40.00000000,10.00000000,0.20000000,1.00000000,1.00000000,200.00000000,40.00000000,0.80000000,0.20000000,1.00000000,,"[0.8, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[0.625, 1.25, 1.875, 2.5, 3.125, 3.75, 4.375, 5.0]",160.00000000,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 40.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 40.0]","[true, true, true, true, true, true, true, true]",single_power,single_highest_layer,embedded_linear,0.00000000,0,,0.20000000,0
8,group_mf,structured_uniform_exp,uniform_beta_exp_power_q0.8_r2,best_q_tx_r_grid,140.00000000,35.00000000,0.70000000,0.87500000,0.87500000,200.00000000,160.00000000,0.20000000,0.80000000,1.00000000,1,"[0.19999999999999996, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]","[0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]","[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]","[0.039215686274509796, 0.07843137254901959, 0.15686274509803919, 0.31372549019607837, 0.6274509803921567, 1.2549019607843135, 2.509803921568627, 5.019607843137254]",40.00000000,"[20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0]","[0.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0]","[false, true, true, true, true, true, true, true]",structured,uniform,exponential,0.00000000,0,2.00000000,0.80000000,29
8,group_mf,structured_all,init_uniform_exponential_q0.8,best_structured_initializer,140.00000000,35.00000000,0.70000000,0.87500000,0.87500000,200.00000000,160.00000000,0.20000000,0.80000000,1.00000000,1,"[0.19999999999999996, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]","[0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]","[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]","[0.039215686274509796, 0.07843137254901959, 0.15686274509803919, 0.31372549019607837, 0.6274509803921567, 1.2549019607843135, 2.509803921568627, 5.019607843137254]",40.00000000,"[20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0]","[0.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0]","[false, true, true, true, true, true, true, true]",structured,uniform,exponential,0.00000000,0,2.00000000,0.80000000,28
8,group_mf,random_dirichlet,random_dirichlet_random_increments_q0.382,best_random_dirichlet,76.35380366,19.08845092,0.38176902,1.00000000,1.00000000,200.00000000,76.35380366,0.61823098,0.38176902,1.00000000,,"[0.6182309816850635, 0.08705596573261082, 0.08942821688946359, 0.0031150661019316633, 0.03697703120027912, 0.05243777259871509, 0.014674798128869264, 0.03431985074761606, 0.06376031691545098]","[0.08705596573261082, 0.08942821688946359, 0.0031150661019316633, 0.03697703120027912, 0.05243777259871509, 0.014674798128869264, 0.03431985074761606, 0.06376031691545098]","[0.22803308167032782, 0.23424692051802554, 0.008159557094708822, 0.0968570769924952, 0.13735470947895795, 0.038438944557736304, 0.08989689865117403, 0.16701281103657428]","[0.9428340216910645, 0.9840253306673897, 2.162642387433307, 2.9921372802824817, 3.123387651881187, 4.167375585077411, 4.581831883641396, 5.181235887455095]",123.64619634,"[17.411193146522162, 17.88564337789272, 0.6230132203863327, 7.395406240055824, 10.487554519743018, 2.934959625773853, 6.863970149523212, 12.752063383090196]","[17.411193146522162, 17.88564337789272, 0.6230132203863327, 7.395406240055824, 10.487554519743018, 2.934959625773853, 6.863970149523212, 12.752063383090196]","[true, true, true, true, true, true, true, true]",random,dirichlet,random_increments,0.00000000,0,,0.38176902,22
8,group_mf,local_search,init_uniform_exponential_q0.8,best_local_search,150.96323124,37.74080781,0.75481616,1.00000000,1.00000000,200.00000000,150.96323124,0.24518384,0.75481616,1.00000000,,"[0.24518384378919855, 0.06834131119104375, 0.08480508539589957, 0.1019870395241481, 0.11662946279843878, 0.0894553680159233, 0.10287782870934244, 0.09375263984955075, 0.09696742072645478]","[0.06834131119104375, 0.08480508539589957, 0.1019870395241481, 0.11662946279843878, 0.0894553680159233, 0.10287782870934244, 0.09375263984955075, 0.09696742072645478]","[0.0905403396955877, 0.11235197431600233, 0.135115072305985, 0.15451373402488097, 0.118512789213458, 0.13629521289765717, 0.1242059262750703, 0.12846495127135857]","[0.034000288525207555, 0.06029688510433025, 0.12955589167971107, 0.26158036333719387, 0.6157804488398757, 1.2573870761826327, 2.4811606253210288, 5.484155530790992]",49.03676876,"[13.66826223820875, 16.961017079179914, 20.39740790482962, 23.325892559687755, 17.89107360318466, 20.575565741868488, 18.75052796991015, 19.393484145290955]","[13.66826223820875, 16.961017079179914, 20.39740790482962, 23.325892559687755, 17.89107360318466, 20.575565741868488, 18.75052796991015, 19.393484145290955]","[true, true, true, true, true, true, true, true]",structured,uniform,exponential,10.96323124,4,,0.75481616,28
8,group_lmmse,single_power,single_power_baseline_q0.2,best_q_tx_grid,40.00000000,10.00000000,0.20000000,1.00000000,1.00000000,200.00000000,40.00000000,0.80000000,0.20000000,1.00000000,,"[0.8, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[0.625, 1.25, 1.875, 2.5, 3.125, 3.75, 4.375, 5.0]",160.00000000,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 40.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 40.0]","[true, true, true, true, true, true, true, true]",single_power,single_highest_layer,embedded_linear,0.00000000,0,,0.20000000,0
8,group_lmmse,structured_uniform_exp,uniform_beta_exp_power_q0.8_r2,best_q_tx_r_grid,160.00000000,40.00000000,0.80000000,1.00000000,1.00000000,200.00000000,160.00000000,0.20000000,0.80000000,1.00000000,,"[0.19999999999999996, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]","[0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]","[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]","[0.039215686274509796, 0.07843137254901959, 0.15686274509803919, 0.31372549019607837, 0.6274509803921567, 1.2549019607843135, 2.509803921568627, 5.019607843137254]",40.00000000,"[20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0]","[20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0]","[true, true, true, true, true, true, true, true]",structured,uniform,exponential,0.00000000,0,2.00000000,0.80000000,29
8,group_lmmse,structured_all,init_uniform_exponential_q0.8,best_structured_initializer,160.00000000,40.00000000,0.80000000,1.00000000,1.00000000,200.00000000,160.00000000,0.20000000,0.80000000,1.00000000,,"[0.19999999999999996, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]","[0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]","[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]","[0.039215686274509796, 0.07843137254901959, 0.15686274509803919, 0.31372549019607837, 0.6274509803921567, 1.2549019607843135, 2.509803921568627, 5.019607843137254]",40.00000000,"[20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0]","[20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0]","[true, true, true, true, true, true, true, true]",structured,uniform,exponential,0.00000000,0,2.00000000,0.80000000,28
8,group_lmmse,random_dirichlet,random_dirichlet_random_increments_q0.55,best_random_dirichlet,110.05806128,27.51451532,0.55029031,1.00000000,1.00000000,200.00000000,110.05806128,0.44970969,0.55029031,1.00000000,,"[0.44970969361224367, 0.13590092623484765, 0.18739876853113066, 0.014320899780097646, 0.0799866116554724, 0.025206491992847108, 0.03809053846594826, 0.04995098674911703, 0.019435082978295663]","[0.13590092623484765, 0.18739876853113066, 0.014320899780097646, 0.0799866116554724, 0.025206491992847108, 0.03809053846594826, 0.04995098674911703, 0.019435082978295663]","[0.24696223912599044, 0.34054528374534376, 0.026024263218633856, 0.14535348111167826, 0.04580580777137225, 0.06921898863889518, 0.0907720637076234, 0.035317872680462825]","[0.09824859666124297, 0.7140768268565861, 0.7147176492735623, 2.1251830415962307, 2.6613709690624727, 5.169760525679127, 5.672486473467244, 6.445052564789227]",89.94193872,"[27.18018524696953, 37.479753706226134, 2.8641799560195293, 15.99732233109448, 5.041298398569421, 7.618107693189652, 9.990197349823406, 3.8870165956591327]","[27.18018524696953, 37.479753706226134, 2.8641799560195293, 15.99732233109448, 5.041298398569421, 7.618107693189652, 9.990197349823406, 3.8870165956591327]","[true, true, true, true, true, true, true, true]",random,dirichlet,random_increments,0.00000000,0,,0.55029031,24
8,group_lmmse,local_search,init_uniform_exponential_q0.8,best_local_search,171.13602960,42.78400740,0.85568015,1.00000000,1.00000000,200.00000000,171.13602960,0.14431985,0.85568015,1.00000000,,"[0.14431985198763542, 0.11430025226154543, 0.08721637300886771, 0.10948643441136358, 0.11422198821915654, 0.07698243830697664, 0.14127851068433017, 0.12102457073214688, 0.09116958038797758]","[0.11430025226154543, 0.08721637300886771, 0.10948643441136358, 0.11422198821915654, 0.07698243830697664, 0.14127851068433017, 0.12102457073214688, 0.09116958038797758]","[0.13357824477645097, 0.10192637191766127, 0.12795252369204374, 0.13348678064400535, 0.08996637176379163, 0.16510668269271184, 0.14143669338744327, 0.10654633112589189]","[0.04016434783054132, 0.07789180848511465, 0.15596806313233355, 0.2889724898972389, 0.46908078983118173, 1.1749343941846766, 2.641215934907932, 4.571441193473069]",28.86397040,"[22.860050452309086, 17.443274601773542, 21.897286882272716, 22.844397643831307, 15.396487661395328, 28.255702136866034, 24.204914146429378, 18.233916077595516]","[22.860050452309086, 17.443274601773542, 21.897286882272716, 22.844397643831307, 15.396487661395328, 28.255702136866034, 24.204914146429378, 18.233916077595516]","[true, true, true, true, true, true, true, true]",structured,uniform,exponential,11.13602960,4,,0.85568015,28
