receiver,G,q_arrival,R,sigma2,Pbar,T_fixed,T_random,T_single,T_discrete,gain_abs,gain_pct,pi0,pi1,pi2,pi12,fixed_pi0,fixed_pi1,fixed_power,q_tx_random,q_tx_fixed,avg_power_random,avg_power_fixed,E1,E2,E12
OD,0.0,0.0,0.8,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,0.7411011265922482,1.015716566510398,1.2903320064285477
OD,0.08333333333333333,0.041666666666666664,0.8,1.0,2.0,0.06666666666666667,0.0666666666666667,0.06666666666666667,0.0666666666666667,2.7755575615628914e-17,4.163336342344337e-14,0.0,0.0,0.78,0.22,0.0,1.0,2.0,0.04166666666666667,0.041666666666666664,1.076131963292391,2.0,0.7411011265922482,1.015716566510398,1.2903320064285477
OD,0.16666666666666666,0.08333333333333333,0.8,1.0,2.0,0.1333333333333333,0.13333333333333336,0.1333333333333333,0.13333333333333336,5.551115123125783e-17,4.1633363423443377e-14,0.0,0.0,0.12,0.88,0.0,1.0,2.0,0.08333333333333333,0.08333333333333333,1.2573781536383697,2.0,0.7411011265922482,1.015716566510398,1.2903320064285477
OD,0.25,0.125,0.8,1.0,2.0,0.2,0.20000000000000007,0.2,0.20000000000000007,5.551115123125783e-17,2.7755575615628914e-14,0.0,0.0,0.2,0.8,0.0,1.0,2.0,0.125,0.125,1.235408918444918,2.0,0.7411011265922482,1.015716566510398,1.2903320064285477
OD,0.3333333333333333,0.16666666666666666,0.8,1.0,2.0,0.2666666666666667,0.2666666666666668,0.2666666666666667,0.2666666666666668,5.551115123125783e-17,2.0816681711721682e-14,0.0,0.0,0.26,0.74,0.0,1.0,2.0,0.16666666666666666,0.16666666666666666,1.2189319920498287,2.0,0.7411011265922482,1.015716566510398,1.2903320064285477
OD,0.41666666666666663,0.20833333333333331,0.8,1.0,2.0,0.3333333333333333,0.3333333333333334,0.3333333333333333,0.3333333333333334,1.1102230246251565e-16,3.3306690738754696e-14,0.0,0.0,0.32,0.68,0.0,1.0,2.0,0.20833333333333331,0.20833333333333331,1.20245506565474,2.0,0.7411011265922482,1.015716566510398,1.2903320064285477
OD,0.5,0.25,0.8,1.0,2.0,0.4,0.40000000000000013,0.4,0.40000000000000013,1.1102230246251565e-16,2.7755575615628914e-14,0.0,0.0,0.2,0.8,0.0,1.0,2.0,0.25,0.25,1.235408918444918,2.0,0.7411011265922482,1.015716566510398,1.2903320064285477
OD,0.5833333333333333,0.29166666666666663,0.8,1.0,2.0,0.4666666666666666,0.46666666666666673,0.4666666666666666,0.46666666666666673,1.1102230246251565e-16,2.3790493384824785e-14,0.0,0.0,0.12,0.88,0.0,1.0,2.0,0.29166666666666663,0.29166666666666663,1.2573781536383697,2.0,0.7411011265922482,1.015716566510398,1.2903320064285477
OD,0.6666666666666666,0.3333333333333333,0.8,1.0,2.0,0.5333333333333334,0.5333333333333335,0.5333333333333334,0.5333333333333335,1.1102230246251565e-16,2.0816681711721682e-14,0.0,0.0,0.44,0.56,0.0,1.0,2.0,0.33333333333333337,0.3333333333333333,1.1695012128645619,2.0,0.7411011265922482,1.015716566510398,1.2903320064285477
OD,0.75,0.375,0.8,1.0,2.0,0.6000000000000001,0.6000000000000002,0.6000000000000001,0.6000000000000002,1.1102230246251565e-16,1.8503717077085938e-14,0.0,0.0,0.24,0.76,0.0,1.0,2.0,0.375,0.375,1.2244243008481919,2.0,0.7411011265922482,1.015716566510398,1.2903320064285477
OD,0.8333333333333333,0.41666666666666663,0.8,1.0,2.0,0.6666666666666666,0.6666666666666669,0.6666666666666666,0.6666666666666669,2.220446049250313e-16,3.3306690738754696e-14,0.0,0.0,0.24,0.76,0.0,1.0,2.0,0.41666666666666663,0.41666666666666663,1.2244243008481919,2.0,0.7411011265922482,1.015716566510398,1.2903320064285477
OD,0.9166666666666666,0.4583333333333333,0.8,1.0,2.0,0.7333333333333334,0.7333333333333336,0.7333333333333334,0.7333333333333336,2.220446049250313e-16,3.0278809762504265e-14,0.0,0.0,0.2,0.8,0.0,1.0,2.0,0.45833333333333337,0.4583333333333333,1.235408918444918,2.0,0.7411011265922482,1.015716566510398,1.2903320064285477
OD,1.0,0.5,0.8,1.0,2.0,0.8,0.8000000000000003,0.8,0.8000000000000003,2.220446049250313e-16,2.7755575615628914e-14,0.0,0.0,0.2,0.8,0.0,1.0,2.0,0.5,0.5,1.235408918444918,2.0,0.7411011265922482,1.015716566510398,1.2903320064285477
OD,1.0833333333333333,0.5416666666666666,0.8,1.0,2.0,0.8666666666666667,0.8666666666666668,0.8666666666666667,0.8666666666666668,1.1102230246251565e-16,1.2810265668751806e-14,0.0,0.0,0.06,0.94,0.0,1.0,2.0,0.5416666666666666,0.5416666666666666,1.2738550800334587,2.0,0.7411011265922482,1.015716566510398,1.2903320064285477
OD,1.1666666666666665,0.5833333333333333,0.8,1.0,2.0,0.9333333333333332,0.9333333333333336,0.9333333333333332,0.9333333333333336,3.3306690738754696e-16,3.5685740077237176e-14,0.0,0.0,0.32,0.68,0.0,1.0,2.0,0.5833333333333333,0.5833333333333333,1.20245506565474,2.0,0.7411011265922482,1.015716566510398,1.2903320064285477
OD,1.25,0.625,0.8,1.0,2.0,1.0,1.0000000000000004,1.0,1.0000000000000004,4.440892098500626e-16,4.440892098500626e-14,0.0,0.0,0.32,0.68,0.0,1.0,2.0,0.625,0.625,1.20245506565474,2.0,0.7411011265922482,1.015716566510398,1.2903320064285477
OD,1.3333333333333333,0.6666666666666666,0.8,1.0,2.0,1.0666666666666667,1.066666666666667,1.0666666666666667,1.066666666666667,4.440892098500626e-16,4.163336342344337e-14,0.0,0.0,0.78,0.22,0.0,1.0,2.0,0.6666666666666667,0.6666666666666666,1.076131963292391,2.0,0.7411011265922482,1.015716566510398,1.2903320064285477
OD,1.4166666666666665,0.7083333333333333,0.8,1.0,2.0,1.1333333333333333,1.1333333333333335,1.1333333333333333,1.1333333333333335,2.220446049250313e-16,1.959217102279688e-14,0.0,0.0,0.1,0.9,0.0,1.0,2.0,0.7083333333333333,0.7083333333333333,1.2628704624367328,2.0,0.7411011265922482,1.015716566510398,1.2903320064285477
OD,1.5,0.75,0.8,1.0,2.0,1.2000000000000002,1.2000000000000004,1.2000000000000002,1.2000000000000004,2.220446049250313e-16,1.8503717077085938e-14,0.0,0.0,0.2,0.8,0.0,1.0,2.0,0.7500000000000001,0.75,1.235408918444918,2.0,0.7411011265922482,1.015716566510398,1.2903320064285477
OD,1.5833333333333333,0.7916666666666666,0.8,1.0,2.0,1.2666666666666666,1.2666666666666668,1.2666666666666666,1.2666666666666668,2.220446049250313e-16,1.7529837230923524e-14,0.0,0.0,0.1,0.9,0.0,1.0,2.0,0.7916666666666667,0.7916666666666666,1.2628704624367328,2.0,0.7411011265922482,1.015716566510398,1.2903320064285477
OD,1.6666666666666665,0.8333333333333333,0.8,1.0,2.0,1.3333333333333333,1.3333333333333337,1.3333333333333333,1.3333333333333337,4.440892098500626e-16,3.3306690738754696e-14,0.0,0.0,0.44,0.56,0.0,1.0,2.0,0.8333333333333333,0.8333333333333333,1.1695012128645619,2.0,0.7411011265922482,1.015716566510398,1.2903320064285477
OD,1.75,0.875,0.8,1.0,2.0,1.4000000000000001,1.4000000000000006,1.4000000000000001,1.4000000000000006,4.440892098500626e-16,3.172065784643304e-14,0.0,0.0,0.8,0.2,0.0,1.0,2.0,0.8750000000000001,0.875,1.070639654494028,2.0,0.7411011265922482,1.015716566510398,1.2903320064285477
OD,1.8333333333333333,0.9166666666666666,0.8,1.0,2.0,1.4666666666666666,1.4666666666666672,1.4666666666666666,1.4666666666666672,6.661338147750939e-16,4.541821464375641e-14,0.0,0.0,0.2,0.8,0.0,1.0,2.0,0.9166666666666667,0.9166666666666666,1.235408918444918,2.0,0.7411011265922482,1.015716566510398,1.2903320064285477
